연번,설치주소,설치형태,등용량(W),데이터 기준일,위도,경도
1885,구로구 개봉동 279-26,한전주,30,2025-11-28,37.4878985,126.8582488
1886,구로구 개봉동 279-34,한전주,25,2025-11-28,37.4878522,126.8585731
1887,구로구 개봉동 288-1,한전주,25,2025-11-28,37.4876729,126.8580566
1888,구로구 궁동 279-5,한전주,50,2025-11-28,37.4980954,126.8295988
1889,구로구 신도림동 279-4,벽부형,25,2025-11-28,37.5115266,126.8801869
1890,구로구 신도림동 279-4,벽부형,25,2025-11-28,37.5115266,126.8801869
1891,구로구 신도림동 279-5,한전주,50,2025-11-28,37.5114819,126.8799668
1892,구로구 궁동 289,한전주,50,2025-11-28,37.4979264,126.8297487
1893,구로구 궁동 289,한전주,50,2025-11-28,37.4979264,126.8297487
1894,구로구 궁동 279-8,한전주,50,2025-11-28,37.4977851,126.8294121
1895,구로구 신도림동 279-9,벽부형,70,2025-11-28,37.5113548,126.8801416
1896,구로구 구로5동 28,한전주,25,2025-11-28,37.5051826,126.8917593
1897,구로구 구로5동 28-10,한전주,50,2025-11-28,37.5048120,126.8924310
1898,구로구 구로5동 28-10,한전주,50,2025-11-28,37.5048120,126.8924310
1899,구로구 구로5동 28-15,한전주,25,2025-11-28,37.5052343,126.8920759
1900,구로구 구로5동 28-18,벽부형,25,2025-11-28,37.5049725,126.8920519
1901,구로구 구로5동 28-22,한전주,50,2025-11-28,37.5046749,126.8921790
1902,구로구 구로5동 28-22,한전주,25,2025-11-28,37.5046749,126.8921790
1903,구로구 구로5동 28-25,한전주,25,2025-11-28,37.5049277,126.8919670
1904,구로구 구로5동 28-3,벽부형,25,2025-11-28,37.5053680,126.8921075
1905,구로구 오류동 28-5,한전주,70,2025-11-28,37.4981646,126.8434136
1906,구로구 신도림동 280-13,벽부형,25,2025-11-28,37.5112227,126.8799129
1907,구로구 신도림동 280-19,한전주,50,2025-11-28,37.5110343,126.8798758
1908,구로구 신도림동 280-2,한전주,25,2025-11-28,37.5111977,126.8796274
1909,구로구 개봉동 494,폴형,50,2025-11-28,37.4873671,126.8581715
1910,구로구 신도림동 280-25,한전주,50,2025-11-28,37.5110685,126.8802901
1911,구로구 개봉동 280-38,한전주,50,2025-11-28,37.4877144,126.8584086
1912,구로구 신도림동 280-28,한전주,50,2025-11-28,37.5108313,126.8802372
1913,구로구 궁동 157,폴형,50,2025-11-28,37.4985873,126.8302570
1914,구로구 개봉동 280-1,한전주,25,2025-11-28,37.4875843,126.8586981
1915,구로구 궁동 289,한전주,50,2025-11-28,37.4979264,126.8297487
1916,구로구 궁동 280-9,한전주,50,2025-11-28,37.4978019,126.8298944
1917,구로구 신도림동 281-100,한전주,50,2025-11-28,37.5117969,126.8791674
1918,구로구 신도림동 281-100,한전주,50,2025-11-28,37.5117969,126.8791674
1919,구로구 신도림동 281-120,한전주,70,2025-11-28,37.5114233,126.8793987
1920,구로구 신도림동 281-120,한전주,25,2025-11-28,37.5114233,126.8793987
1921,구로구 신도림동 281-182,벽부형,70,2025-11-28,,
1922,구로구 신도림동 281-125,한전주,50,2025-11-28,37.5114748,126.8790664
1923,구로구 신도림동 281-139,벽부형,25,2025-11-28,37.5122443,126.8791850
1924,구로구 신도림동 281-29,한전주,50,2025-11-28,37.5118315,126.8801493
1925,구로구 신도림동 281-39,한전주,25,2025-11-28,37.5121234,126.8795772
1926,구로구 신도림동 281-39,한전주,25,2025-11-28,37.5121234,126.8795772
1927,구로구 신도림동 281-69,한전주,25,2025-11-28,37.5116561,126.8798892
1928,구로구 신도림동 281-69,한전주,50,2025-11-28,37.5116561,126.8798892
1929,구로구 신도림동 281-70,,25,2025-11-28,37.5117103,126.8797861
1930,구로구 신도림동 281-71,한전주,25,2025-11-28,37.5117650,126.8796828
1931,구로구 신도림동 281-71,벽부형,25,2025-11-28,37.5117650,126.8796828
1932,구로구 신도림동 281-73,한전주,25,2025-11-28,37.5119029,126.8794197
1933,구로구 신도림동 281-74,한전주,50,2025-11-28,37.5119643,126.8793016
1934,구로구 신도림동 282-14,한전주,50,2025-11-28,37.5114499,126.8785173
1935,구로구 궁동 282-4,한전주,50,2025-11-28,37.4971573,126.8296605
1936,구로구 신도림동 282-5,한전주,50,2025-11-28,37.5110769,126.8785032
1937,구로구 신도림동 292-81,벽부형,70,2025-11-28,37.5090892,126.8774101
1938,구로구 궁동 289,한전주,25,2025-11-28,37.4979264,126.8297487
1939,구로구 개봉동 421-2,한전주,50,2025-11-28,37.4878662,126.8521132
1940,구로구 개봉동 284-3,한전주,25,2025-11-28,37.4875324,126.8521994
1941,구로구 개봉동 281-10,한전주,70,2025-11-28,37.4873481,126.8526137
1942,구로구 개봉동 284-17,벽부형,70,2025-11-28,37.4873712,126.8524280
1943,구로구 개봉동 284-7,한전주,25,2025-11-28,37.4875973,126.8518583
1944,구로구 개봉동 284-2,벽부형,70,2025-11-28,37.4877856,126.8521912
1945,구로구 개봉동 284-21,폴형,70,2025-11-28,37.4873944,126.8519792
1946,구로구 개봉동 286-4,벽부형,20,2025-11-28,37.4872386,126.8520575
1947,구로구 개봉동 284-8,한전주,70,2025-11-28,37.4878301,126.8517364
1948,구로구 개봉동 284-8,한전주,25,2025-11-28,37.4878301,126.8517364
1949,구로구 신도림동 285-8,한전주,50,2025-11-28,37.5098048,126.8770563
1950,구로구 신도림동 285-8,한전주,50,2025-11-28,37.5098048,126.8770563
1951,구로구 개봉동 286-2,벽부형,70,2025-11-28,37.4870345,126.8524660
1952,구로구 신도림동 286-2,한전주,50,2025-11-28,37.5089515,126.8763091
1953,구로구 신도림동 286-22,한전주,50,2025-11-28,37.5092498,126.8765596
1954,구로구 신도림동 286-22,한전주,50,2025-11-28,37.5092498,126.8765596
1955,구로구 개봉동 287-25,한전주,70,2025-11-28,37.4870652,126.8520708
1956,구로구 신도림동 286-6,한전주,50,2025-11-28,37.5085983,126.8760158
1957,구로구 신도림동 286-7,한전주,50,2025-11-28,37.5083664,126.8758336
1958,구로구 개봉동 287-19,한전주,70,2025-11-28,37.4869978,126.8521765
1959,구로구 개봉동 287-17,폴형,70,2025-11-28,37.4870598,126.8518078
1960,구로구 신도림동 287-9,한전주,70,2025-11-28,37.5081172,126.8756770
1961,구로구 신도림동 287-9,한전주,50,2025-11-28,37.5081172,126.8756770
1962,구로구 개봉동 288-12,벽부형,20,2025-11-28,37.4873826,126.8573094
1963,구로구 개봉동 288-11,벽부형,70,2025-11-28,37.4872873,126.8573918
1964,구로구 개봉동 288-14,한전주,70,2025-11-28,37.4875406,126.8571770
1965,구로구 개봉동 288-12,한전주,50,2025-11-28,37.4873826,126.8573094
1966,구로구 개봉동 288-19,벽부형,25,2025-11-28,37.4871396,126.8571891
1967,구로구 개봉동 371-6,한전주,50,2025-11-28,37.4881164,126.8589694
1968,구로구 개봉동 371-6,한전주,25,2025-11-28,37.4881164,126.8589694
1969,구로구 개봉동 371-6,폴형,25,2025-11-28,37.4881164,126.8589694
1970,구로구 개봉동 371-6,한전주,50,2025-11-28,37.4881164,126.8589694
1971,구로구 개봉동 288-26,벽부형,20,2025-11-28,37.4873620,126.8577288
1972,구로구 개봉동 494,한전주,50,2025-11-28,37.4873671,126.8581715
1973,구로구 개봉동 371-6,한전주,50,2025-11-28,37.4881164,126.8589694
1974,구로구 개봉동 288-7,벽부형,20,2025-11-28,37.4875632,126.8573849
1975,구로구 개봉동 403-98,한전주,25,2025-11-28,37.4870752,126.8568262
1976,구로구 개봉동 289-19,폴형,50,2025-11-28,37.4869791,126.8569113
1977,구로구 개봉동 289-19,벽부형,25,2025-11-28,37.4869791,126.8569113
1978,구로구 개봉동 403-167,한전주,50,2025-11-28,37.4878930,126.8566572
1979,구로구 개봉동 371-6,한전주,70,2025-11-28,37.4881164,126.8589694
1980,구로구 개봉동 289-3,벽부형,70,2025-11-28,37.4879033,126.8568161
1981,구로구 구로5동 29-10,벽부형,25,2025-11-28,37.5045559,126.8919513
1982,구로구 구로5동 29-11,벽부형,25,2025-11-28,37.5046416,126.8918780
1983,구로구 구로5동 29-16,폴형,25,2025-11-28,37.5049076,126.8914537
1984,구로구 구로5동 29-17,한전주,25,2025-11-28,37.5048236,126.8915232
1985,구로구 구로5동 29-21,한전주,50,2025-11-28,37.5044840,126.8918031
1986,구로구 구로5동 29-26,한전주,50,2025-11-28,37.5047802,126.8914375
1987,구로구 신도림동 290,한전주,50,2025-11-28,37.5073289,126.8764726
1988,구로구 신도림동 290,한전주,50,2025-11-28,37.5073289,126.8764726
1989,구로구 신도림동 290,한전주,50,2025-11-28,37.5073289,126.8764726
1990,구로구 신도림동 290,한전주,50,2025-11-28,37.5073289,126.8764726
1991,구로구 신도림동 290,한전주,50,2025-11-28,37.5073289,126.8764726
1992,구로구 신도림동 291-101,벽부형,50,2025-11-28,37.5082826,126.8779898
