관리부서,관리번호,사용목적,소재지지번주소,데이터기준일자,위도,경도
서울특별시 금천구청 도로과,가산동-20130,방범등,서울특별시 금천구 가산동 29-11,2025-06-17,37.4834838,126.8838302
서울특별시 금천구청 도로과,가산동-20131,방범등,서울특별시 금천구 가산동 34-29,2025-06-17,37.4838892,126.8833095
서울특별시 금천구청 도로과,가산동-20132,방범등,서울특별시 금천구 가산동 42-18,2025-06-17,37.4821245,126.8829940
서울특별시 금천구청 도로과,가산동-20133,방범등,서울특별시 금천구 가산동 40-6,2025-06-17,37.4827421,126.8840051
서울특별시 금천구청 도로과,가산동-20134,방범등,서울특별시 금천구 가산동 32-19,2025-06-17,37.4845939,126.8824355
서울특별시 금천구청 도로과,가산동-20135,방범등,서울특별시 금천구 가산동 29-22,2025-06-17,37.4833429,126.8842290
서울특별시 금천구청 도로과,가산동-20136,방범등,서울특별시 금천구 가산동 87-225,2025-06-17,37.4830529,126.8847323
서울특별시 금천구청 도로과,가산동-20137,방범등,서울특별시 금천구 가산동 83-18,2025-06-17,37.4826329,126.8852296
서울특별시 금천구청 도로과,가산동-20138,방범등,서울특별시 금천구 가산동 83-18,2025-06-17,37.4826329,126.8852296
서울특별시 금천구청 도로과,가산동-20139,방범등,서울특별시 금천구 가산동 5-9,2025-06-17,37.4847570,126.8815758
서울특별시 금천구청 도로과,가산동-2014,방범등,서울특별시 금천구 가산동 32-29,2025-06-17,37.4841091,126.8819276
서울특별시 금천구청 도로과,가산동-20140,방범등,서울특별시 금천구 가산동 32-14,2025-06-17,37.4839460,126.8820489
서울특별시 금천구청 도로과,가산동-20141,방범등,서울특별시 금천구 가산동 32-14,2025-06-17,37.4839460,126.8820489
서울특별시 금천구청 도로과,가산동-20142,방범등,서울특별시 금천구 가산동 35-4,2025-06-17,37.4833348,126.8823247
서울특별시 금천구청 도로과,가산동-20143,방범등,서울특별시 금천구 가산동 38-1,2025-06-17,37.4827637,126.8829167
서울특별시 금천구청 도로과,가산동-20144,방범등,서울특별시 금천구 가산동 41-11,2025-06-17,37.4822669,126.8830093
서울특별시 금천구청 도로과,가산동-20145,방범등,서울특별시 금천구 가산동 42-28,2025-06-17,37.4821725,126.8835420
서울특별시 금천구청 도로과,가산동-20146,방범등,서울특별시 금천구 가산동 29-30,2025-06-17,37.4834037,126.8835841
서울특별시 금천구청 도로과,가산동-20148,방범등,서울특별시 금천구 가산동 35-5,2025-06-17,37.4836848,126.8825227
서울특별시 금천구청 도로과,가산동-20149,방범등,서울특별시 금천구 가산동 31-6,2025-06-17,37.4844763,126.8826296
서울특별시 금천구청 도로과,가산동-2015,방범등,서울특별시 금천구 가산동 32-28,2025-06-17,37.4841738,126.8820249
서울특별시 금천구청 도로과,가산동-20151,방범등,서울특별시 금천구 가산동 83-14,2025-06-17,37.4825465,126.8850257
서울특별시 금천구청 도로과,가산동-2016,방범등,서울특별시 금천구 가산동 32-67,2025-06-17,37.4843517,126.8820819
서울특별시 금천구청 도로과,가산동-2017,방범등,"서울특별시 금천구 가산동 32-26,25",2025-06-17,37.4843180,126.8822333
서울특별시 금천구청 도로과,가산동-2018,방범등,서울특별시 금천구 가산동 32-25,2025-06-17,37.4844601,126.8824426
서울특별시 금천구청 도로과,가산동-2019,방범등,서울특별시 금천구 가산동 32-25,2025-06-17,37.4844601,126.8824426
서울특별시 금천구청 도로과,가산동-202,방범등,"서울특별시 금천구 가산동 4-6,23",2025-06-17,37.4850468,126.8816451
서울특별시 금천구청 도로과,가산동-2020,방범등,서울특별시 금천구 가산동 31-6,2025-06-17,37.4844763,126.8826296
서울특별시 금천구청 도로과,가산동-2021,방범등,서울특별시 금천구 가산동 32-33,2025-06-17,37.4842864,126.8823474
서울특별시 금천구청 도로과,가산동-2022,방범등,서울특별시 금천구 가산동 32-36,2025-06-17,37.4840892,126.8820608
